item_id,item_name,item_brand,item_variant,item_category,item_price,item_quantity,item_revenue,item_location_id,item_list_id,item_list_name,item_list_position,promotion_name,therapist_name,license_type,primary_modality,primary_specialty,session_rate,weekly_open_slots,accepting_new_clients,location_id
9180818,Keyboard DOT Sticker,Google,Single Option Only,Office,2,4,6,(not set),(not set),(not set),(not set),,"Rina Moore, LMFT",LMFT,Mindfulness-based,Career & Work Stress,120,4,TRUE,CA-LA
9180818,Keyboard DOT Sticker,Google,,,2,1,,(not set),(not set),Not available in demo dataset,4,(not set),"Rina Moore, LMFT",LMFT,IFS,Trauma/PTSD,120,1,TRUE,CA-LA
9180819,Google Laptop and Cell Phone Stickers,Google,Single Option Only,Google,3,2,10,(not set),(not set),Not available in demo dataset,(not set),(not set),"Maya Brown, LMFT",LMFT,Mindfulness-based,Career Stress,120,2,TRUE,WA-Seattle
9180819,Google Laptop and Cell Phone Stickers,Google,,Home/Stationery/Stickers/,3,2,,(not set),(not set),(not set),1,(not set),"Maya Brown, LMFT",LMFT,Psychodynamic,Stress & Burnout,120,2,TRUE,WA-Seattle
9180823,Google Mini Kick Ball,Google,Single Option Only,Fun,2,10,16,(not set),(not set),(not set),(not set),,"Emily Martinez, LMFT",LMFT,Mindfulness-based,Career Stress,120,10,TRUE,CA-BayArea
9180823,Google Mini Kick Ball,Google,,Lifestyle/,2,1,,(not set),22922166876,(not set),2,Google Mural Collection,"Emily Martinez, LMFT",LMFT,Solution-Focused,Sleep,120,1,TRUE,CA-BayArea
9180825,Google Sunglasses,Google,BLUE,Uncategorized Items,4,3,11,(not set),(not set),Not available in demo dataset,(not set),(not set),"Ava Miller, LMFT",LMFT,Mindfulness-based,ADHD,120,3,TRUE,WA-Seattle
9180826,Google Sunglasses,Google,GREEN,Uncategorized Items,3,1,3,(not set),(not set),(not set),(not set),,"Kenji Moore, LMFT",LMFT,Solution-Focused,ADHD,120,1,TRUE,CA-LA
9180827,Google Sunglasses,Google,RED,Uncategorized Items,4,1,6,(not set),(not set),Not available in demo dataset,(not set),(not set),"Priya Sato, LMFT",LMFT,DBT,ADHD,120,1,TRUE,CA-LA
9180829,Google Sunglasses,Google,Choose Color,Home/Shop by Brand/,4,1,,(not set),(not set),(not set),3,(not set),"Ethan Davis, LMFT",LMFT,EMDR,Stress & Burnout,120,1,TRUE,CA-BayArea
9180829,Google Sunglasses,Google,RED,,4,1,,(not set),(not set),Not available in demo dataset,5,(not set),"Ethan Davis, LMFT",LMFT,DBT,Depression,120,1,TRUE,CA-BayArea
9180829,Google Sunglasses,Google,GREEN,,4,2,,(not set),(not set),(not set),5,(not set),"Ethan Davis, LMFT",LMFT,Solution-Focused,Depression,120,2,TRUE,CA-BayArea
9180829,Google Sunglasses,Google,BLUE,Lifestyle/,4,1,,(not set),(not set),Not available in demo dataset,1,(not set),"Ethan Davis, LMFT",LMFT,Mindfulness-based,Sleep,120,1,TRUE,CA-BayArea
9180829,Google Sunglasses,Google,VERT,Lifestyle/,4,1,,(not set),(not set),(not set),4,(not set),"Ethan Davis, LMFT",LMFT,EMDR,Sleep,120,1,TRUE,CA-BayArea
9180842,Maze Pen,Google,Single Option Only,Office,1,5,5,(not set),(not set),(not set),(not set),,"Ava Williams, LMFT",LMFT,Mindfulness-based,Career & Work Stress,120,5,TRUE,NY-NYC
9180842,Maze Pen,Google,,Home/Stationery/,1,5,,(not set),(not set),(not set),1,Act Responsible,"Ava Williams, LMFT",LMFT,IFS,Stress & Burnout,120,5,TRUE,NY-NYC
9180865,Google Metallic Notebook Set,Google,,Home/Stationery/,6,1,,(not set),(not set),Not available in demo dataset,4,(not set),"Emily Lopez, LMFT",LMFT,DBT,Stress & Burnout,120,1,TRUE,NY-NYC
9180865,Google Metallic Notebook Set,Google,Single Option Only,Office,6,1,19,(not set),(not set),Not available in demo dataset,(not set),(not set),"Emily Lopez, LMFT",LMFT,Mindfulness-based,Career & Work Stress,120,1,TRUE,NY-NYC
9180867,Google Frisbee,Google,,Lifestyle/,2,1,,(not set),22201006631,(not set),9,Google Mural Collection,"Maya Hernandez, LMFT",LMFT,Psychodynamic,Sleep,120,1,TRUE,WA-Seattle
9180867,Google Frisbee,Google,Single Option Only,Shop by Brand,1,1,1,(not set),(not set),Not available in demo dataset,(not set),Not available in demo dataset,"Maya Hernandez, LMFT",LMFT,Mindfulness-based,Anxiety,120,1,TRUE,WA-Seattle
9181148,Gift Card- $100.00,,Single Option Only,Gift Cards,100,1,100,(not set),(not set),Not available in demo dataset,(not set),(not set),"Daniel Davis, PsyD",Psychologist (PsyD),Mindfulness-based,OCD,250,1,TRUE,Telehealth-US
9181148,Gift Card- $100.00,,,Home/Gift Cards/,125,1,,(not set),(not set),Not available in demo dataset,1,Reach New Heights,"Daniel Davis, PsyD",Psychologist (PsyD),Mindfulness-based,Stress & Burnout,250,1,TRUE,Telehealth-US
9181149,Gift Card - $25.00,,,Home/Gift Cards/,31,1,,(not set),(not set),(not set),2,(not set),"Sofia Kim, LPC",LPC,Mindfulness-based,Stress & Burnout,180,1,TRUE,CA-BayArea
9181149,Gift Card - $25.00,,Single Option Only,Gift Cards,25,1,25,(not set),(not set),Not available in demo dataset,(not set),Reach New Heights,"Sofia Kim, LPC",LPC,Mindfulness-based,OCD,180,1,TRUE,CA-BayArea
9181151,Gift Card - $50.00,,,Home/Gift Cards/,63,1,,(not set),(not set),Not available in demo dataset,4,(not set),"Jun Jackson, PsyD",Psychologist (PsyD),Psychodynamic,Stress & Burnout,250,1,TRUE,NY-NYC
9181151,Gift Card - $50.00,,Single Option Only,Gift Cards,50,1,50,(not set),(not set),Not available in demo dataset,(not set),(not set),"Jun Jackson, PsyD",Psychologist (PsyD),Mindfulness-based,OCD,220,1,TRUE,NY-NYC
9182173,Google Stylus Pen w/ LED Light,Google,Single Option Only,Office,4,1,4,(not set),(not set),(not set),(not set),,"Chloe Brown, LMFT",LMFT,Mindfulness-based,Career & Work Stress,120,1,TRUE,CA-LA
